for,while,if,funciones,recursivo,lineas,profundidad_bucles,complejidad
0,0,3,2,3,24,0,constant
0,0,4,0,0,22,0,constant
0,2,6,14,6,165,1,constant
0,0,4,0,0,21,0,constant
0,0,3,0,0,21,0,constant
1,0,18,7,23,140,1,constant
0,0,3,3,7,22,0,constant
0,0,3,3,7,22,0,constant
0,0,4,0,0,19,0,constant
0,0,5,2,4,45,0,constant
0,0,4,2,5,40,0,constant
0,0,6,5,17,91,0,constant
0,0,6,1,4,65,0,constant
0,0,3,3,7,23,0,constant
0,0,3,3,5,40,0,constant
0,0,3,0,0,25,0,constant
0,0,3,2,6,44,0,constant
0,0,3,3,7,23,0,constant
0,0,3,3,7,23,0,constant
0,0,0,1,1,8,0,constant
0,0,0,0,0,2,0,constant
0,0,0,4,2,10,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
0,0,1,0,0,4,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,2,0,constant
1,1,4,2,3,26,1,constant
2,0,3,0,0,23,2,constant
0,0,2,0,0,9,0,constant
1,0,2,1,1,11,1,constant
1,0,2,0,0,11,1,constant
0,0,0,0,0,2,0,constant
1,0,2,0,0,12,1,constant
1,0,1,0,0,18,1,constant
1,0,2,1,3,14,1,constant
3,0,4,0,0,25,2,constant
1,0,3,0,0,12,1,constant
1,0,2,0,0,12,1,constant
1,0,2,1,2,11,1,constant
1,0,3,0,0,17,1,constant
3,0,1,2,2,22,1,constant
2,1,3,1,1,24,2,constant
3,0,2,0,0,19,2,constant
2,0,3,0,0,14,1,constant
1,0,2,0,0,19,1,constant
0,0,0,0,0,4,0,constant
3,0,2,0,0,21,2,constant
0,0,0,0,0,65,0,constant
0,1,5,0,0,32,1,constant
0,0,1,1,1,14,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,2,0,constant
1,0,3,0,0,34,1,constant
0,1,2,0,0,16,1,constant
2,0,7,0,0,37,1,constant
0,0,0,0,0,2,0,constant
3,3,6,10,2,236,2,constant
0,1,1,0,0,8,1,constant
0,1,7,1,1,36,1,constant
0,0,0,0,0,2,0,constant
0,0,3,0,0,11,0,constant
0,0,0,0,0,2,0,constant
0,0,3,0,0,11,0,constant
0,0,3,0,0,11,0,constant
0,0,6,1,2,22,0,constant
0,0,4,0,0,14,0,constant
0,0,5,0,0,27,0,constant
0,0,3,1,1,12,0,constant
0,0,3,0,0,12,0,constant
0,0,4,0,0,12,0,constant
0,0,5,0,0,20,0,constant
3,1,1,2,3,27,3,constant
3,0,0,0,0,13,3,constant
4,0,2,9,6,71,3,constant
0,0,3,0,0,13,0,constant
0,0,3,0,0,10,0,constant
0,0,5,1,1,159,0,constant
0,0,5,1,1,159,0,constant
1,1,0,0,0,11,2,constant
1,1,2,0,0,14,2,constant
1,0,2,1,2,17,1,constant
1,1,0,0,0,9,2,constant
1,0,3,1,2,16,1,constant
1,0,2,1,2,14,1,constant
2,0,4,2,3,35,1,constant
1,1,1,0,0,17,2,constant
1,1,1,0,0,17,2,constant
1,1,0,0,0,8,2,constant
1,1,1,2,2,23,2,constant
2,1,2,0,0,24,2,constant
2,0,2,1,3,21,1,constant
1,1,2,0,0,24,2,constant
1,1,0,1,1,15,1,constant
1,0,2,2,3,19,1,constant
1,1,1,0,0,11,2,constant
0,2,1,0,0,14,2,constant
1,1,2,1,1,22,1,constant
0,0,2,0,0,16,0,constant
1,2,7,6,1,88,1,constant
0,0,0,0,0,1,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,31,0,constant
0,0,1,0,0,11,0,constant
0,0,4,0,0,26,0,constant
0,0,3,0,0,17,0,constant
0,0,2,0,0,11,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,6,0,constant
0,0,3,0,0,26,0,constant
0,0,1,0,0,19,0,constant
0,0,0,0,0,4,0,constant
0,0,1,0,0,8,0,constant
0,0,4,0,0,20,0,constant
0,0,2,0,0,9,0,constant
0,0,3,0,0,19,0,constant
0,0,4,0,0,18,0,constant
0,1,0,0,0,4,1,constant
0,1,0,1,1,8,1,constant
3,0,3,11,9,75,2,constant
0,1,1,0,0,9,1,constant
0,1,0,0,0,6,1,constant
0,1,0,0,0,6,1,constant
0,1,1,0,0,13,1,constant
0,1,1,0,0,15,1,constant
0,1,0,0,0,7,1,constant
0,0,1,3,3,17,0,constant
5,11,29,40,3,537,2,constant
5,11,29,40,3,538,2,constant
5,11,29,40,3,559,2,constant
0,2,5,11,8,70,1,constant
2,0,4,1,2,15,1,constant
2,0,3,1,2,18,1,constant
1,0,1,1,2,11,1,constant
0,0,1,3,1,25,0,constant
0,0,0,0,0,2,0,constant
1,2,5,1,8,138,1,constant
0,0,0,0,0,2,0,constant
0,0,1,0,0,10,0,constant
1,1,3,1,1,20,1,constant
0,0,0,0,0,6,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,11,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,7,0,constant
2,0,2,1,2,14,1,constant
2,0,2,1,2,19,1,constant
2,1,2,0,0,16,2,constant
3,0,2,0,0,14,2,constant
3,0,2,1,1,17,2,constant
0,0,4,0,0,12,0,constant
0,0,4,0,0,18,0,constant
